Designator,Mid X,Mid Y,Rotation,Layer
,105.0,-147.85,0.0,top
C1,110.19,-77.205,90.0,top
C10,152.25,-94.8,90.0,bottom
C100,169.825,-72.0,0.0,bottom
C101,169.825,-73.575,0.0,bottom
C11,141.025,-94.7,270.0,bottom
C12,148.25,-98.0,90.0,bottom
C13,146.725,-107.9,0.0,bottom
C14,161.93,-113.78,45.0,bottom
C15,146.725,-106.15,0.0,bottom
C16,156.4,-100.575,90.0,bottom
C17,158.2,-94.725,90.0,bottom
C18,156.25,-94.725,90.0,bottom
C19,145.85,-104.4,0.0,bottom
C2,142.425,-133.4,0.0,top
C20,156.025,-107.125,180.0,bottom
C21,153.8,-94.05,90.0,bottom
C22,145.05,-93.95,0.0,bottom
C23,156.025,-108.8,180.0,bottom
C24,169.642514,-121.773402,225.0,bottom
C25,163.068008,-115.981992,315.0,bottom
C26,165.028643,-126.387274,225.0,bottom
C27,166.251992,-118.458008,135.0,bottom
C28,156.967625,-117.442373,135.0,bottom
C29,167.415128,-119.616726,135.0,bottom
C3,142.425,-135.15,0.0,top
C30,162.7,-96.325,90.0,bottom
C31,150.825,-106.1,180.0,bottom
C32,178.825,-94.9,0.0,bottom
C33,177.625,-88.4,0.0,bottom
C34,175.2,-97.4,0.0,bottom
C35,169.0,-96.5,90.0,bottom
C36,167.425,-88.6,180.0,bottom
C37,158.548008,-119.348008,225.0,bottom
C38,162.851992,-124.151992,45.0,bottom
C39,190.6,-132.7,0.0,top
C4,142.625,-94.7,270.0,bottom
C40,192.35,-109.7,90.0,top
C41,190.6,-134.95,0.0,top
C42,189.425,-104.7,0.0,top
C43,186.9,-124.3,0.0,bottom
C44,169.25,-138.775,90.0,bottom
C45,178.65,-129.15,270.0,top
C46,174.85,-129.1875,270.0,top
C47,156.65,-138.5,270.0,bottom
C48,158.45,-138.5,270.0,bottom
C49,154.65,-133.1,90.0,bottom
C5,137.425,-99.71,0.0,bottom
C50,153.85,-138.525,90.0,bottom
C51,160.2,-142.95,180.0,top
C52,160.25,-135.6,180.0,top
C53,144.3625,-123.9,0.0,top
C54,144.3625,-127.2,0.0,top
C55,136.225,-121.75,270.0,bottom
C56,132.65,-127.95,0.0,bottom
C57,132.65,-122.525,180.0,bottom
C58,139.8,-127.8,180.0,bottom
C59,113.0,-109.275,90.0,top
C6,141.575,-102.825,180.0,bottom
C60,141.575,-101.3,180.0,bottom
C61,102.25,-116.025,270.0,bottom
C62,103.95,-116.0,270.0,bottom
C63,107.25,-103.775,90.0,top
C64,124.4,-97.395,90.0,top
C65,126.25,-97.375,270.0,top
C66,131.355,-69.69,180.0,bottom
C67,137.582499,-82.990002,90.0,bottom
C68,159.57,-79.82,90.0,bottom
C69,130.499999,-84.26,180.0,bottom
C7,147.45,-101.2,270.0,bottom
C70,122.0,-116.25,0.0,bottom
C71,118.1,-93.1,90.0,bottom
C72,140.632498,-82.010002,0.0,bottom
C73,162.825,-85.2,180.0,bottom
C74,131.5,-87.765,90.0,bottom
C75,113.225,-99.75,0.0,top
C76,118.1,-96.3,270.0,bottom
C77,135.9,-90.35,270.0,bottom
C78,164.350003,-79.835001,90.0,bottom
C79,123.549999,-85.525,0.0,bottom
C8,141.575,-99.75,180.0,bottom
C80,109.95,-99.75,180.0,top
C81,123.95,-92.85,90.0,bottom
C82,137.990001,-90.349998,270.0,bottom
C83,162.18,-79.830001,90.0,bottom
C84,123.549999,-83.35,0.0,bottom
C85,110.15,-106.05,180.0,top
C86,151.75,-73.75,180.0,bottom
C87,129.385,-90.63,0.0,bottom
